name,image_id,cc,category
Swainson's Hawk,579218321,Derek Hudgins,big_raptors
Northern Cardinal,296140181,Brian Berry,little_colourful_birds
White-eyed Vireo,462666471,Karl H (Hoeff ka),lbb
Eastern Phoebe,203600081,Lila Theis,robins
Red-shouldered Hawk,87283081,Byron Greco,big_raptors
Ruby-throated Hummingbird,334978431,Nell Marlowe,hummingbird
Northern Parula,618302241,Brooke Ross,lbb
Northern Parula,618302240,Brooke Ross,lbb
Northern Parula,618302239,Brooke Ross,lbb
Acadian Flycatcher,618302195,Brooke Ross,wagfantail
Acadian Flycatcher,618302194,Brooke Ross,wagfantail
Pileated Woodpecker,560969421,Karl H (Hoeff ka),woodpecker
Savannah Sparrow,296502501,Brian Berry,lbb
Pine Warbler,155519951,Jeff Corcoran,lbb
Lark Sparrow,227623201,Hannah Willars 🦆,lbb
Red-bellied Woodpecker,203599701,Lila Theis,woodpecker
Chimney Swift,617094275,Todd Love,swallows
Pileated Woodpecker,462666971,Karl H (Hoeff ka),woodpecker
Blue-headed Vireo,200201211,Jo Willars,lbb
White-crowned Sparrow,544118561,Kelsey Biles,lbb
Indigo Bunting,617229599,Amanda Koehler,lbb
American Crow,96478121,Dan Sherick,black_white
Chimney Swift,617094276,Todd Love,swallows
Wilson's Snipe,231849421,Zhen Li,colourful_waders
Carolina Wren,617252140,Lynn & Dale Mason,lbb
Great Egret,615281106,Amanda Koehler,egrets
Turkey Vulture,615280559,Amanda Koehler,big_raptors
Lincoln's Sparrow,613829357,Erik  Wolf,lbb
Spotted Towhee,611341658,Amanda Koehler,finches
Spotted Towhee,611341567,Amanda Koehler,finches
American Robin,611273775,Amanda Koehler,robins
Common Yellowthroat,609935102,Amanda Koehler,little_colourful_birds
Common Yellowthroat,609933116,Amanda Koehler,little_colourful_birds
Northern House Wren,609711798,Amanda Koehler,lbb
Northern House Wren,609711493,Amanda Koehler,lbb
Red-bellied Woodpecker,608916022,Amanda Koehler,woodpecker
Summer Tanager,608915197,Amanda Koehler,little_colourful_birds
Rose-breasted Grosbeak,560118311,DEBBIE MC,finches
Cedar Waxwing,560117261,DEBBIE MC,little_colourful_birds
Lincoln's Sparrow,559312511,DEBBIE MC,lbb
Ruby-throated Hummingbird,553656021,Amanda Koehler,hummingbird
Sharp-shinned Hawk,541988421,Barbara Zorn,big_raptors
Loggerhead Shrike,541276101,Amanda Koehler,songbird
Red-tailed Hawk,525065381,Amanda Koehler,big_raptors
White-throated Sparrow,508886701,Amanda Koehler,lbb
Black-headed Grosbeak,497083691,Charlene Koehler,finches
Barred Owl,462924111,Karl H (Hoeff ka),owl
Northern Cardinal,419257521,Van Remsen,little_colourful_birds
Scissor-tailed Flycatcher,146547421,Ben Lucking | WINGS,wagfantail
European Starling,297089521,Bill Wright_cc,ground_mbb
Chipping Sparrow,296122251,Brian Berry,lbb
Swainson's Hawk,579218391,Derek Hudgins,big_raptors
Scissor-tailed Flycatcher,181146961,Yve Morrell,wagfantail
American Crow,52861581,Sandi Templeton,black_white
Upland Sandpiper,227608131,Hannah Willars 🦆,plovers
Barn Swallow,208742931,Stephen Gast,swallows
Northern Parula,618302238,Brooke Ross,lbb
Eastern Kingbird,617094299,Todd Love,wagfantail
Northern Mockingbird,614912832,Bill Wright_cc,wagfantail
Northern Flicker (Yellow-shafted),614129742,Erik  Wolf,woodpecker
Spotted Towhee,611341611,Amanda Koehler,finches
Orchard Oriole,609360248,Barbara Zorn,honeyeaters
Great Crested Flycatcher,609360097,Barbara Zorn,wagfantail
Alder Flycatcher,608917806,Amanda Koehler,wagfantail
Red-bellied Woodpecker,602534331,Amanda Koehler,woodpecker
Pileated Woodpecker,560969481,Karl H (Hoeff ka),woodpecker
Blue Grosbeak,560118571,DEBBIE MC,finches
Chipping Sparrow,559310791,DEBBIE MC,lbb
Mourning Dove,559310181,DEBBIE MC,pigeons_doves
Orchard Oriole,559309501,DEBBIE MC,honeyeaters
Pileated Woodpecker,415513371,Erik  Wolf,woodpecker
Ruby-throated Hummingbird,483911491,DEBBIE MC,hummingbird
Red-shouldered Hawk,483909331,DEBBIE MC,big_raptors
Rock Pigeon (Feral Pigeon),300661871,Erik  Wolf,pigeons_doves
Eastern Kingbird,227609971,Hannah Willars 🦆,wagfantail
Swainson's Warbler,218609391,Darrell Vollert,lbb
Blue-headed Vireo,200212731,Jo Willars,lbb
Orange-crowned Warbler,296140381,Brian Berry,lbb
Carolina Chickadee,419257371,Van Remsen,tit
Ruby-throated Hummingbird,470569331,DEBBIE MC,hummingbird
Carolina Wren,581069661,DEBBIE MC,lbb
Ruby-throated Hummingbird,483911481,DEBBIE MC,hummingbird
Painted Bunting,483911061,DEBBIE MC,lbb
Ruby-throated Hummingbird,483910201,DEBBIE MC,hummingbird
Indigo Bunting,181147181,Yve Morrell,lbb
Northern Parula,618302237,Brooke Ross,lbb
Alder Flycatcher,608916652,Amanda Koehler,wagfantail
Alder Flycatcher,608916649,Amanda Koehler,wagfantail
American Crow,541278241,Amanda Koehler,black_white
Orchard Oriole,623291486,Amanda Koehler,honeyeaters
Couch's Kingbird,612058769,Amanda Koehler,wagfantail
Alder Flycatcher,608917133,Amanda Koehler,wagfantail
Prothonotary Warbler,608678488,Erik  Wolf,lbb
Downy Woodpecker,518018721,Amanda Koehler,woodpecker
Northern Harrier,506093911,Amanda Koehler,big_raptors
Great Crested Flycatcher,496354781,Charlene Koehler,wagfantail
Field Sparrow,611364185,Amanda Koehler,lbb
Scarlet Tanager,635217066,DEBBIE MC,little_colourful_birds
Northern Cardinal,632332115,Karl H (Hoeff ka),little_colourful_birds
Northern Cardinal,632284264,Karl H (Hoeff ka),little_colourful_birds
White-throated Sparrow,632284143,Karl H (Hoeff ka),lbb
Blue-headed Vireo,631867884,Kathleen Dvorak,lbb
Red-shouldered Hawk,629211183,Linda White,big_raptors
Yellow-rumped Warbler,627891833,Erik  Wolf,lbb
Red-winged Blackbird,627891783,Erik  Wolf,ground_mbb
Great Blue Heron,627754598,Amanda Koehler,herons
Solitary Sandpiper,627754394,Amanda Koehler,plovers
Barred Owl,624772977,Erik  Wolf,owl
American Robin,623291577,Amanda Koehler,robins
Alder Flycatcher,623291362,Amanda Koehler,wagfantail
Yellow-billed Cuckoo,622612240,Erik  Wolf,cuckoos
Swainson's Warbler,618752249,David Goff,lbb
Red-bellied Woodpecker,616797814,Amanda Koehler,woodpecker
Greater Yellowlegs,616695380,Amanda Koehler,hard_waders
Scott's Oriole,615397645,Barbara Zorn,honeyeaters
Scott's Oriole,615397644,Barbara Zorn,honeyeaters
American Robin,614265974,Bill Wright_cc,robins
Baltimore Oriole,483909551,DEBBIE MC,honeyeaters
Purple Martin,178714891,Bob Friedrichs,swallows
Red-headed Woodpecker,163475131,Jerry Chen,woodpecker
American Pipit,140629121,Gary Yoder,mbb
King Rail,129020041,Letha Slagle,rail_crake
Cedar Waxwing,92468631,Jim Brady,little_colourful_birds
Eastern Bluebird,635216771,DEBBIE MC,little_colourful_birds
White-eyed Vireo,634196727,Shelia Hargis,lbb
White-throated Sparrow,632284357,Karl H (Hoeff ka),lbb
American Robin,628007196,Erik  Wolf,robins
American Crow,628007143,Erik  Wolf,black_white
Great Egret,627891601,Erik  Wolf,egrets
Rufous Hummingbird,627755118,Amanda Koehler,hummingbird
Green-tailed Towhee,627353963,James Giroux,finches
Painted Bunting,623292910,Amanda Koehler,lbb
Northern Mockingbird,623291970,Amanda Koehler,wagfantail
Painted Bunting,623291812,Amanda Koehler,lbb
Yellow-billed Cuckoo,622612242,Erik  Wolf,cuckoos
Wood Stork,619856956,Erik  Wolf,egrets
Eastern Wood-Pewee,618351205,DEBBIE MC,wagfantail
Black Vulture,618043782,Amanda Koehler,big_raptors
Orchard Oriole,617762211,Amanda Koehler,honeyeaters
Black Vulture,617586501,Scott Ramos,big_raptors
Orange-crowned Warbler,616798109,Amanda Koehler,lbb
Orange-crowned Warbler,616798011,Amanda Koehler,lbb
Orange-crowned Warbler,616797996,Amanda Koehler,lbb
Hooded Warbler,616797568,Amanda Koehler,lbb
Black Vulture,616693857,Amanda Koehler,big_raptors
Pied-billed Grebe,615280353,Amanda Koehler,water_birds
Eastern Phoebe,615280000,Amanda Koehler,robins
Cedar Waxwing,614129782,Erik  Wolf,little_colourful_birds
Eastern Phoebe,614129758,Erik  Wolf,robins
Northern Flicker (Yellow-shafted),614129743,Erik  Wolf,woodpecker
Song Sparrow,612576720,Amanda Koehler,lbb
Barred Owl,612576341,Amanda Koehler,owl
Savannah Sparrow (Savannah),612211604,Sean Mecredy,lbb
Song Sparrow,611515634,Amanda Koehler,lbb
Field Sparrow,611515198,Amanda Koehler,lbb
Wilson's Snipe,611514497,Amanda Koehler,colourful_waders
American Kestrel,611513764,Amanda Koehler,small_raptors
Field Sparrow,611364290,Amanda Koehler,lbb
White-crowned Sparrow,611343120,Amanda Koehler,lbb
Indigo Bunting,611270252,Amanda Koehler,lbb
American White Pelican,611076058,Amanda Koehler,water_birds
Red-tailed Hawk,610049643,Amanda Koehler,big_raptors
Red-shouldered Hawk,610049009,Amanda Koehler,big_raptors
Wilson's Warbler,609694124,Amanda Koehler,lbb
Magnolia Warbler,609693751,Amanda Koehler,lbb
Indigo Bunting,609692680,Amanda Koehler,lbb
Eastern Phoebe,609692595,Amanda Koehler,robins
Yellow-billed Cuckoo,609359897,Barbara Zorn,cuckoos
Western Tanager,609358866,Barbara Zorn,little_colourful_birds
Western Tanager,609358859,Barbara Zorn,little_colourful_birds
Little Blue Heron,608916124,Amanda Koehler,herons
Summer Tanager,608915193,Amanda Koehler,little_colourful_birds
Summer Tanager,608915084,Amanda Koehler,little_colourful_birds
Eastern Kingbird,608913310,Amanda Koehler,wagfantail
House Sparrow,608913255,Amanda Koehler,lbb
Red-bellied Woodpecker,608498385,Erik  Wolf,woodpecker
Turkey Vulture,602546091,Amanda Koehler,big_raptors
Red-shouldered Hawk,602543161,Amanda Koehler,big_raptors
Buff-bellied Hummingbird,578930741,Barbara Zorn,hummingbird
White-winged Dove,570927641,Amanda Koehler,pigeons_doves
Yellow-billed Cuckoo,565811461,DEBBIE MC,cuckoos
Blue Jay,564738111,Erik  Wolf,robins
Black-bellied Whistling-Duck,562959741,DEBBIE MC,ducks
White-crowned Sparrow,562495421,DEBBIE MC,lbb
Pileated Woodpecker,560971961,James Rolfe,woodpecker
Pileated Woodpecker,560969441,Karl H (Hoeff ka),woodpecker
Red-bellied Woodpecker,560117121,DEBBIE MC,woodpecker
Blue Grosbeak,559315651,DEBBIE MC,finches
Orchard Oriole,559309521,DEBBIE MC,honeyeaters
White-crowned Sparrow,559308741,DEBBIE MC,lbb
Sharp-shinned Hawk,558131591,Amanda Koehler,big_raptors
Ruby-throated Hummingbird,557012571,Amanda Koehler,hummingbird
Red-winged Blackbird,553670231,Amanda Koehler,ground_mbb
